Vételár;Vételár EUR;Évjárat;Állapot;Kivitel;Kilométeróra állása;Szállítható szem. száma;Ajtók száma;Saját tömeg;Teljes tömeg;Csomagtartó;Klíma fajtája;Üzemanyag;Hengerűrtartalom;Teljesítmény;Henger-elrendezés;Hajtás;Sebességváltó fajtája;Okmányok jellege;Műszaki vizsga érvényes;Nyári gumi méret;Leírás;Felszereltség;Cím;Helyiség;Kategória;Márka;Hirdetés feladása;Hirdetés leszedése;Évjárat év;Évjárat hónap;Teljesítmény(LE);Sebességváltó típus;Sebességváltó fokozat;Modellcsoport;Modell;Szín;Alvázszám;Finanszírozás;Kárpit színe (1);Kezdőrészlet;Futamidő;Kárpit színe (2);Egyéb költségek;Fizetendő magyarországi forgalomba helyezés esetén;Tető;Téli gumi méret;Hátsó nyári gumi méret;Hátsó téli gumi méret;Átvehető;Finanszírozás típusa CASCO-val;Futamidő CASCO nélkül;Garancia;Átrozsdásodási garancia;Futásidő;Finanszírozás típusa CASCO nélkül;Bérlési lehetőség;Havi részlet;Szavatossági garancia;Hirdetési idő(nap);Autó kora(nap);Műszaki még érvenyes(nap)
12803297;1300000.0;4027.0;2007.10.01;Megkímélt;Sedan;102000.0;5.0;4.0;1140.0;1600.0;510liter;;Dízel;1461.0;50kW,68LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Érvényes magyar okmányokkal;2020.01.01;165/80R14;Jelenlegi hirdetésben szereplő autó, németországi partnerünknél található. Akár 10-15 napos, szerződésben vállalt határidővel behozzuk és magyar rendszámmal átadjuk leendő tulajdonosának! Leinformált, műszakilag és esztétikailag megkímélt, átnézett autókról van szó. Ajánlataink többsége frissen szervizelt, illetve folyamatosan vezetett szervizkönyvvel rendelkeznek. Megrendelés esetén, a megbeszélt feltételekkel, a gépjárművet hazaszállítjuk, papír ügyintézést átvállaljuk. Értékesített gépjárműveinkre akár három hónap garanciát vállalunk!;['ABS (blokkolásgátló)', 'centrálzár', 'szervokormány', 'elektromos ablak elöl', 'CD-s autórádió', 'autóbeszámítás lehetséges', 'frissen szervizelt', 'garanciális', 'garázsban tartott', 'Magyarországon újonnan üzembe helyezett', 'nem dohányzó', 'rendszeresen karbantartott', 'szervizkönyv', 'törzskönyv'];Telefonon egyeztetett helyszínen;;Személyautó;DACIA;2018.07.18;;;;68.0;Manuális;5.0;Nincs;LOGAN;Kék(metál);;;;;;;;;;;;;;;;;;;;;;;;-3944 days +05:28:37.661634000;531 days 05:28:37.653341000
12809039;1670000.0;5173.0;2011.03.01;Megkímélt;Kombi;127422.0;5.0;5.0;1240.0;1740.0;700liter;Manuálisklíma;Benzin;1598.0;65kW,88LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Érvényes magyar okmányokkal;2020.04.01;185/65R15;Jól felszerelt kivitel: klíma szervókormány elektromos ablakok elektromos tükrök szép állapot újszerű téligumik! Hitel-csere beszámítás!;['ülésmagasság állítás', 'automatikusan sötétedő belső tükör', 'hűthető kesztyűtartó', 'multifunkciós kormánykerék', 'deréktámasz', 'ISOFIX rendszer', 'kikapcsolható légzsák', 'oldallégzsák', 'utasoldali légzsák', 'vezetőoldali légzsák', 'hátsó fejtámlák', 'állítható kormány', 'pótkerék', 'fűthető ablakmosó fúvókák', 'ködlámpa', 'esőszenzor', 'fényszóró magasságállítás', 'elektromos ablak elöl', 'elektromos tükör', 'fűthető tükör', 'színezett üveg', 'ABS (blokkolásgátló)', 'ESP (menetstabilizátor)', 'centrálzár', 'riasztó', 'szervokormány', 'CD-s autórádió', 'AUX csatlakozó', 'MP3 lejátszás', 'autóbeszámítás lehetséges', 'frissen szervizelt', 'garázsban tartott', 'nem dohányzó', 'rendszeresen karbantartott', 'törzskönyv'];Pápa Külső-Győri út 19.;;Személyautó;DACIA;2018.07.18;;;;88.0;Manuális;5.0;Nincs;LOGAN;Ezüst(metál);;;;;;;;;;;;;;;;;;;;;;;;-2697 days +05:28:37.661634000;622 days 05:28:37.653341000
12809296;2190000.0;6784.0;2011.05.01;Megkímélt;Várositerepjáró(crossover);107000.0;5.0;5.0;1160.0;1710.0;475liter;Manuálisklíma;Benzin;1598.0;77kW,105LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Érvényes magyar okmányokkal;2019.05.01;215/65R16;Nincs;['ABS (blokkolásgátló)', 'indításgátló (immobiliser)', 'centrálzár', 'szervokormány', 'oldallégzsák', 'utasoldali légzsák', 'vezetőoldali légzsák', 'elektromos ablak elöl', 'színezett üveg', 'CD-s autórádió', 'Magyarországon újonnan üzembe helyezett', 'szervizkönyv', '30%-tól elvihető'];Kaposszekcső, Petőfi u. 1.;;Személyautó;DACIA;2018.07.18;;;;105.0;Manuális;5.0;Nincs;DUSTER;;;30%-tólelvihető;;;;;;;;;;;;;;;;;;;;;;-2636 days +05:28:37.661634000;286 days 05:28:37.653341000
12813627;1390000.0;4306.0;2007.04.01;Kitűnő;Kombi;79300.0;5.0;5.0;1165.0;1740.0;700liter;Manuálisklíma;Benzin;1598.0;64kW,87LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Érvényes magyar okmányokkal;2020.05.01;185/65R15;Az autó nagyon szép esztétikai és kifogástalan műszaki állapotban van! Nyári-téli kerékgarnitúra, 2 darab gyári kulcs! Csomagtértálca, Dohányzásmentes!;['dönthető utasülések', 'hűthető kesztyűtartó', 'deréktámasz', 'oldallégzsák', 'utasoldali légzsák', 'vezetőoldali légzsák', 'állítható kormány', 'fedélzeti komputer', 'pótkerék', 'ködlámpa', 'fényszóró magasságállítás', 'elektromos ablak elöl', 'elektromos tükör', 'fűthető tükör', 'könnyűfém felni', 'színezett üveg', 'ABS (blokkolásgátló)', 'centrálzár', 'riasztó', 'szervokormány', 'CD-s autórádió', 'autóbeszámítás lehetséges', 'első tulajdonostól', 'garázsban tartott', 'keveset futott', 'nem dohányzó', 'rendszeresen karbantartott', 'szervizkönyv', '30%-tól elvihető'];2800 Tatabánya Erdész u.D, BENZINKÚT;;Személyautó;DACIA;2018.07.18;;;;87.0;Manuális;5.0;Nincs;LOGAN;Sötétszürke(metál);;30%-tólelvihető;;;;;;;;;;;;;;;;;;;;;;-4127 days +05:28:37.661634000;652 days 05:28:37.653341000
12817229;2180000.0;6753.0;2013.12.01;Kitűnő;Sedan;47698.0;5.0;4.0;1059.0;1590.0;510liter;Manuálisklíma;Dízel;1461.0;55kW,75LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Érvényes magyar okmányokkal;2019.12.01;185/65R15;Magyarországon újonnan vásárolt, első idős tulajdonostól nagyon keveset használt, garázsban tartott, rendszeresen karbantartott, 4, 6 L/100 km átlagfogyasztású, teljesen újszerű, vonóhoroggal.;['ülésmagasság állítás', 'hátsó oldal légzsák', 'ISOFIX rendszer', 'oldallégzsák', 'utasoldali légzsák', 'vezetőoldali légzsák', 'hátsó fejtámlák', 'állítható kormány', 'fedélzeti komputer', 'pótkerék', 'elektromos ablak elöl', 'elektromos tükör', 'vonóhorog', 'ABS (blokkolásgátló)', 'centrálzár', 'szervokormány', 'CD-s autórádió', 'bluetooth-os kihangosító', 'USB csatlakozó', 'MP3 lejátszás', 'MP4 lejátszás', 'azonnal elvihető', 'első tulajdonostól', 'garázsban tartott', 'keveset futott', 'Magyarországon újonnan üzembe helyezett', 'nem dohányzó', 'rendszeresen karbantartott', 'törzskönyv'];-;Vecsés;Személyautó;DACIA;2018.07.18;;;;75.0;Manuális;5.0;Nincs;LOGAN;Bézs;;;Fekete;;;;;;;;;;;;;;;;;;;;;-1691 days +05:28:37.661634000;500 days 05:28:37.653341000
12818414;860000.0;2664.0;2007.07.01;Normál;Kombi;179159.0;5.0;5.0;1205.0;1796.0;700liter;Manuálisklíma;Dízel;1461.0;50kW,68LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Érvényes magyar okmányokkal;2019.08.01;185/65R15;Az autón kisebb sérülések voltak melyeket kijavítattuk. pl: karcolások, horpadás, kavicsfelverődés. Téli, nyári gumi felnire szerelve. Garantált első tulajtól! Garantált kilóméter!;['pótkerék', 'vonóhorog', 'vezetőoldali légzsák', 'hátsó fejtámlák', 'indításgátló (immobiliser)', 'centrálzár', 'CD-s autórádió', '2 hangszóró', 'azonnal elvihető', 'első tulajdonostól', 'Magyarországon újonnan üzembe helyezett', 'nem dohányzó', 'rendszeresen karbantartott', 'törzskönyv'];Mezőtúr (5400);;Személyautó;DACIA;2018.07.18;;;;68.0;Manuális;5.0;Nincs;LOGAN;;UU1KSDEKJ37840653;;;;;;;;;185/65R15;;;;;;;;;;;;;;-4036 days +05:28:37.661634000;378 days 05:28:37.653341000
12834926;2499000.0;7741.0;2011.07.01;Megkímélt;Várositerepjáró(crossover);96869.0;5.0;5.0;1205.0;1755.0;475liter;Automataklíma;Dízel;1461.0;79kW,107LE;Soros;Elsőkerék;Manuális(6fokozatú)sebességváltó;Érvényes magyar okmányokkal;2020.01.01;215/65R16;Jelenlegi hirdetésben szereplő autó németországi partnerünknél található. A gépjárművet 15-20 munkanapos, szerződésben vállalt határidővel behozzuk és magyar rendszámmal átadjuk leendő tulajdonosának! Sürgős esetben 6-8 munkanapos határidőt is tudunk vállalni, ami minimális extra költséggel jár. Leinformált, műszakilag és esztétikailag megkímélt, átnézett autókról van szó. Ajánlataink többsége frissen szervizelt, illetve folyamatosan vezetett szervizkönyvvel rendelkeznek. Megrendelés esetén, a megbeszélt feltételekkel, a gépjárművet hazaszállítjuk, papír ügyintézést átvállaljuk. Értékesített gépjárműveinkre három hónap garanciát vállalunk!;['ABS (blokkolásgátló)', 'szervokormány', 'oldallégzsák', 'utasoldali légzsák', 'vezetőoldali légzsák', 'esőszenzor', 'elektromos ablak elöl', 'elektromos ablak hátul', 'rádió', 'rádiós magnó', 'CD-s autórádió', '6 hangszóró', 'autóbeszámítás lehetséges', 'frissen szervizelt', 'garanciális', 'garázsban tartott', 'Magyarországon újonnan üzembe helyezett', 'nem dohányzó', 'rendszeresen karbantartott', 'szervizkönyv', 'törzskönyv'];Telefonon egyeztetett helyszínen;;Személyautó;DACIA;2018.07.18;;;;107.0;Manuális;6.0;Nincs;DUSTER;Szürke(metál);;;;;;;;;;;;;;;;;;;;;;;;-2575 days +05:28:37.661634000;531 days 05:28:37.653341000
12849565;2499000.0;7741.0;2013.02.01;Normál;Várositerepjáró(crossover);71500.0;5.0;5.0;1205.0;1755.0;475liter;Manuálisklíma;Dízel;1461.0;66kW,90LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Érvényes magyar okmányokkal;2019.02.01;215/65R16;Eladó egy jó állapotú metál zöld színű Dacia Duster 1.5 dci második tulajdonostól. Az autó műszaki érvényessége 2019.02. A gépkocsi első és oldalsó légzsákkal, és légkondicionálóval rendelkezik. Új akkumulátor, pótkerék, és téli-nyári gumiabroncs garnitúra jár hozzá. Az autóban nem dohányoztak, és szakszervizben szervizelt.;['ABS (blokkolásgátló)', 'részecskeszűrő', 'kikapcsolható légzsák', 'oldallégzsák', 'utasoldali légzsák', 'vezetőoldali légzsák', 'hátsó fejtámlák', 'állítható kormány', 'esőszenzor', 'elektromos ablak elöl', 'CD-s autórádió', 'AUX csatlakozó', 'MP3 lejátszás', 'MP4 lejátszás', 'WMA lejátszás', '1 DIN', '2 hangszóró', 'garázsban tartott', 'keveset futott', 'nem dohányzó', 'rendszeresen karbantartott', 'szervizkönyv', 'törzskönyv'];Miskolc 3533;;Személyautó;DACIA;2018.07.18;;;;90.0;Manuális;5.0;Nincs;DUSTER;Olajzöld;;;Világosszürke;;;Sötétszürke;;;Lemeztető;215/65R16;;;;;;;;;;;;;;-1994 days +05:28:37.661634000;197 days 05:28:37.653341000
12852882;630000.0;2168.0;2005.10.01;Megkímélt;Sedan;99100.0;5.0;4.0;1055.0;1540.0;510liter;Manuálisklíma;Benzin;1598.0;64kW,87LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Érvényes külföldi okmányokkal;2019.09.01;185/65R15;Romániában forgalomba helyezett! Keveset használt, az évjárat ellenére szinte újszerű állapot! Megkímélt, mindig garázsban tartott! Akkoriban a legmagasabb felszereltséggel rendelhatő Dacia Logan Ambition. Valós km állás! Első tulajdonostól eladó.;['pótkerék', 'ködlámpa', 'fényszóró magasságállítás', 'elektromos ablak elöl', 'elektromos ablak hátul', 'elektromos tükör', 'fűthető tükör', 'könnyűfém felni', 'deréktámasz', 'utasoldali légzsák', 'vezetőoldali légzsák', 'fedélzeti komputer', 'ABS (blokkolásgátló)', 'indításgátló (immobiliser)', 'centrálzár', 'szervokormány', 'CD-s autórádió', '1 DIN', '4 hangszóró', 'első tulajdonostól', 'frissen szervizelt', 'garázsban tartott', 'hölgy tulajdonostól', 'keveset futott', 'nem dohányzó', 'rendszeresen karbantartott', 'szervizkönyv', 'törzskönyv'];Veszprém (8200);Veszprém;Személyautó;DACIA;2018.07.18;;;;87.0;Manuális;5.0;Nincs;LOGAN;Piros;;;Sötétszürke;;;Világosszürke;Regisztrációsadó;700000;Lemeztető;;;;;;;;;;;;;;;-4674 days +05:28:37.661634000;409 days 05:28:37.653341000
12867541;4499000.0;13936.0;2018.01.01;Kitűnő;Terepjáró;1.0;5.0;5.0;1179.0;;445liter;Manuálisklíma;Dízel;1598.0;84kW,114LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Okmányok nélkül;;215/60R16;KÉSZLETRŐL azonnal elvihető, kedvező fogyasztással rendelkező Duster Comfort dízel modell. Extra felszereltsége, amit az ár tartalmaz: metálfényezés, pótkerék, tolatóradar. Akár 4.99%-os THM-es fix kamatozású HUF alapú finanszírozással is lehetséges megvásárolni.;['tolatóradar', 'ABS (blokkolásgátló)', 'ASR (kipörgésgátló)', 'ESP (menetstabilizátor)', 'guminyomás-ellenőrző rendszer', 'indításgátló (immobiliser)', 'visszagurulás-gátló', 'fékasszisztens', 'MSR (motorféknyomaték szabályzás)', 'centrálzár', 'tempomat', 'sebességfüggő szervókormány', 'ülésmagasság állítás', 'multifunkciós kormánykerék', 'függönylégzsák', 'ISOFIX rendszer', 'kikapcsolható légzsák', 'oldallégzsák', 'utasoldali légzsák', 'vezetőoldali légzsák', 'hátsó fejtámlák', 'állítható kormány', 'fedélzeti komputer', 'pótkerék', 'ködlámpa', 'kiegészítő fényszóró', 'fényszóró magasságállítás', 'elektromos ablak elöl', 'elektromos ablak hátul', 'elektromos tükör', 'fűthető tükör', 'színezett üveg', 'rádió', 'bluetooth-os kihangosító', 'USB csatlakozó', '4 hangszóró', 'autóbeszámítás lehetséges', 'garanciális', '30%-tól elvihető'];1037 Budapest, Zay utca 24. (bejárat a Kunigunda útja 56. felől);;Személyautó;DACIA;2018.07.18;;;;114.0;Manuális;5.0;Nincs;DUSTER;Narancs(metál);;30%-tólelvihető;Szürke;;;;;;Lemeztető;;;;2018.;Lízing;;3év;6év;Újjármű;;;;;;-199 days +05:28:37.661634000;
12869727;1699000.0;5526.0;2012.05.01;Normál;Várositerepjáró(crossover);154223.0;5.0;5.0;1235.0;1785.0;475liter;;Dízel;1461.0;80kW,109LE;Soros;Elsőkerék;Manuális(6fokozatú)sebességváltó;Érvényes magyar okmányokkal;2019.05.01;215/65R16;Gondos tulajdonostól vihető. Rendszeresen karbantartott szép állapot. Folyamatosan és szakszerűen szervizelve. --Kérem érdeklődjön telefonon mielőtt ellátogat kereskedésünkbe. Autó beszámítás, csere lehetséges. Kizárólag személyes megtekintés után tudunk árat mondani autójára! Azonnali készpénzes autófelvásárlás. Autóink nyitvatartási időn kívül is megtekinthetők telefonos egyeztetés után. További információért, képekért látogasson el honlapunkra. MBV Mobile Nagykanizsa--;['dönthető utasülések', 'ülésmagasság állítás', 'utasoldali légzsák', 'vezetőoldali légzsák', 'ABS (blokkolásgátló)', 'ASR (kipörgésgátló)', 'indításgátló (immobiliser)', 'centrálzár', 'szervokormány', 'elektromos ablak elöl', 'színezett üveg', 'CD-s autórádió', 'nem dohányzó', 'rendszeresen karbantartott', 'szervizkönyv', 'törzskönyv', '20%-tól elvihető'];MBV Mobile Kft / 8800 Nagykanizsa Garay u. 19/b;;Személyautó;DACIA;2018.07.18;;;;109.0;Manuális;6.0;Nincs;DUSTER;Kék;;20%-tólelvihető;Fekete;;;;;;;;;;;;;;;;;;;;;-2270 days +05:28:37.661634000;286 days 05:28:37.653341000
12877969;775000.0;2401.0;2008.03.01;Normál;Kombi;377000.0;7.0;5.0;1245.0;1860.0;198liter;Manuálisklíma;Dízel;1461.0;50kW,68LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Érvényes magyar okmányokkal;2019.10.01;185/65R15;Nincs;['állítható hátsó ülések', 'középső kartámasz', 'ISOFIX rendszer', 'kikapcsolható légzsák', 'utasoldali légzsák', 'vezetőoldali légzsák', 'hátsó fejtámlák', 'fedélzeti komputer', 'centrálzár', 'szervokormány', 'elektromos ablak elöl', 'USB csatlakozó', 'AUX csatlakozó', 'MP3 lejátszás', 'WMA lejátszás', '2 hangszóró', 'azonnal elvihető', 'frissen szervizelt', 'nem dohányzó', 'rendszeresen karbantartott', 'törzskönyv'];Telefonon egyeztetett helyszínen;;Személyautó;DACIA;2018.07.18;;;;68.0;Manuális;5.0;Nincs;LOGAN;Bordó;;;;;;;;;;;;;;;;;;;;;;;;-3792 days +05:28:37.661634000;439 days 05:28:37.653341000
12881835;3000000.0;9293.0;2014.01.01;Újszerű;Várositerepjáró(crossover);99500.0;5.0;5.0;1294.0;1844.0;475liter;Automataklíma;Dízel;1461.0;82kW,111LE;Soros;Összkerék;Manuális(6fokozatú)sebességváltó;Érvényes magyar okmányokkal;2020.01.01;215/65R16;Családi autó és munkaautó egyben! Eladó egy 4x4 Dacia Duster. 2. szériás Arctic felszereltséggel. 4, 5 éves használt első tulajdonostól. Folyamatosan a Debreceni Renault Kalidy-nél szervízeltetve és folyamatosan karban tartva. Visszakereshető akár a szervíznél is. Tökéletes állapotban pici kis külső sérülésekkel. A vásárlást követően történtek plusz módosítások az autón. Fel lett helyezve egy alsó pajzs ami nem csak a motort védi hanem egészen a kipufogó végéig megakadályozza a sár berakódását. A két hátsó oldalsó ablaküveg sötétítő fóliával lett bevonva gyermekek miatt. 2 hónapos újonnan vásárolt 4 évszakos Pirelli gumi van rajta. Kifejezetten bevált ennél az autónál ezzel a speciális hajtással a 4 évszakos abroncs. 8 szezont (4-évet) szerelés nélkül gond nélkül kibírt. Pótkerék van hátul. Az alapfelszereltségen kívül olívazöld metál fényezése van ami nagyon jó állapotban van. Fel lett szerelve rá vonóhorog és tolatóradar is. Középen tárolós könyöktartó van. Az autó nagyon keveset futott minimális szereléssel. Az automata 4 kerékhajtás világbajnok csúszós utakon! Szántóföldön a pick-upokat messze veri. Jóval közelebbi tengelytávja és hasmagassága miatt 4 év alatt az elakadások száma 0 volt! Mitsubishi L200-ashoz voltam szokva amit ez messze felül múlt! Az eladás egyetlen oka hogy új Dacia Dusterre lesz cserélve. Az autó csak teljes vételár kifizetés után vihető el. Jelenleg is használom. Nagyon jó vétel és a hirdetések között még csak hasonló korú/futású autót sem láttam eddig. Nem kereskedő vagyok így csak egy autó van. Augusztus közepéig vásárolható meg tőlem utána beszámíttatom egy új Dusterbe és akkor ugyanezt az autót valószínű 2-300.000 Ft-ért drágábban lehet majd a kereskedéstől megvásárolni. Érdemes ezt is belekalkulálni. Megtekintés lehetséges Hajdúszoboszlón. Ha kérdése van híjon bizlommal.;['tolatóradar', 'ABS (blokkolásgátló)', 'ASR (kipörgésgátló)', 'ESP (menetstabilizátor)', 'EBD/EBV (elektronikus fékerő-elosztó)', 'EDS (elektronikus differenciálzár)', 'indításgátló (immobiliser)', 'visszagurulás-gátló', 'fékasszisztens', 'centrálzár', 'szervokormány', 'tempomat', 'részecskeszűrő', 'sebességfüggő szervókormány', 'ülésmagasság állítás', 'középső kartámasz', 'multifunkciós kormánykerék', 'velúr kárpit', 'ISOFIX rendszer', 'utasoldali légzsák', 'vezetőoldali légzsák', 'állítható kormány', 'fedélzeti komputer', 'pótkerék', 'fűthető szélvédő', 'ködlámpa', 'fényszóró magasságállítás', 'elektromos ablak elöl', 'fűthető tükör', 'könnyűfém felni', 'színezett üveg', 'vonóhorog', 'CD-s autórádió', 'memóriakártya-olvasó', 'kihangosító', 'bluetooth-os kihangosító', 'USB csatlakozó', 'MP3 lejátszás', 'MP4 lejátszás', '8 hangszóró', 'első tulajdonostól', 'frissen szervizelt', 'keveset futott', 'Magyarországon újonnan üzembe helyezett', 'nem dohányzó', 'rendszeresen karbantartott', 'szervizkönyv', 'törzskönyv'];Hajdúszoboszló (4200);;Személyautó;DACIA;2018.07.18;;;;111.0;Manuális;6.0;Nincs;DUSTER;Olajzöld(metál);;;Fekete;;;Sötétszürke;;;Lemeztető;;;;;;;;;;;;;;;-1660 days +05:28:37.661634000;531 days 05:28:37.653341000
12883186;2250000.0;6969.0;2015.03.01;Megkímélt;Sedan;23284.0;5.0;4.0;974.0;1505.0;510liter;Manuálisklíma;Benzin;1149.0;55kW,75LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Érvényes magyar okmányokkal;2020.03.01;185/65R15;Keveset futott családi autónak használt, a korának megfelelő állapotban. 20000km-es szervizen átesve, téligumi garnitúrával. 2016-ban forgalomba helyezve. Csere lehetséges 7személyes, benzines járműre 2010-es évjárattól. Áregyeztetéssel, ha kell minimálissan ráfizetek.;['állítható hátsó ülések', 'dönthető utasülések', 'ülésmagasság állítás', 'kikapcsolható légzsák', 'utasoldali légzsák', 'vezetőoldali légzsák', 'hátsó fejtámlák', 'állítható kormány', 'fedélzeti komputer', 'tolatóradar', 'ABS (blokkolásgátló)', 'ASR (kipörgésgátló)', 'ESP (menetstabilizátor)', 'guminyomás-ellenőrző rendszer', 'centrálzár', 'szervokormány', 'pótkerék', 'ködlámpa', 'fényszóró magasságállítás', 'elektromos ablak elöl', 'elektromos tükör', 'fűthető tükör', 'CD-s autórádió', 'kihangosító', 'bluetooth-os kihangosító', 'USB csatlakozó', 'AUX csatlakozó', 'MP3 lejátszás', 'WMA lejátszás', '1 DIN', '4 hangszóró', 'azonnal elvihető', 'első tulajdonostól', 'frissen szervizelt', 'garanciális', 'keveset futott', 'Magyarországon újonnan üzembe helyezett', 'rendszeresen karbantartott', 'szervizkönyv', 'törzskönyv'];Telefonon egyeztetett helyszínen;Nagybajom;Személyautó;DACIA;2018.07.18;;;;75.0;Manuális;5.0;Nincs;LOGAN;Szürke;;;Fekete;;;;;;Lemeztető;;;;;;;;;;;;;;;-1236 days +05:28:37.661634000;591 days 05:28:37.653341000
12883341;1400000.0;4337.0;2011.01.01;Normál;Kombi;56000.0;5.0;5.0;1240.0;1740.0;700liter;;Benzin;1598.0;65kW,88LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Érvényes magyar okmányokkal;2020.01.01;185/65R15;Az autó ausztriában lett üzembe helyezve kaszni hátsó része sérült volt, elem csere nem volt rajta, így került be hozzánk, szépen rendbe hozták alváz nem volt sérült. Én 30000km el vettem napi használatban van munkára használom, városban cuccolok vele. Apróbb esztétikai gondjai vannak csak műszakilag újszerűnek mondanám. Az üléshuzatok a használat miatt nincsenek leszedve egyébként rendeben vannak az ülések. Az autó szép és kitűnő műszakilag. TEGYEN AJÁNLATOT!;['dönthető utasülések', 'utasoldali légzsák', 'vezetőoldali légzsák', 'ABS (blokkolásgátló)', 'szervokormány', 'könnyűfém felni', 'színezett üveg', 'vonóhorog', 'rádiós magnó', '4 hangszóró', 'második tulajdonostól', 'nem dohányzó', 'rendszeresen karbantartott'];Kalocsa (6300);Kalocsa;Személyautó;DACIA;2018.07.18;;;;88.0;Manuális;5.0;Nincs;LOGAN;Fehér;;;Szürke;;;;;;;;;;;;;;;;;;;;;-2756 days +05:28:37.661634000;531 days 05:28:37.653341000
12883714;2089000.0;6471.0;2012.05.01;Megkímélt;Várositerepjáró(crossover);190000.0;5.0;5.0;1171.0;1721.0;475liter;Manuálisklíma;Benzin;1598.0;77kW,105LE;Soros;Elsőkerék;Manuális(5fokozatú)sebességváltó;Érvényes magyar okmányokkal;2020.05.01;215/65R16;Eladó a képen látható autó, jó műszaki és szép esztétikai állapotban. Valós és igazolható futásteljesítménnyel, nem dohányzó, klíma, ülésfűtés, központi zár, AUX csatlakozó, elektromos ablak. SÉRÜLÉS MENTES KAROSSZÉRIA.;['állítható hátsó ülések', 'ülésmagasság állítás', 'függönylégzsák', 'ISOFIX rendszer', 'kikapcsolható légzsák', 'oldallégzsák', 'utasoldali légzsák', 'vezetőoldali légzsák', 'hátsó fejtámlák', 'állítható kormány', 'pótkerék', 'fényszóró magasságállítás', 'elektromos ablak elöl', 'ABS (blokkolásgátló)', 'ASR (kipörgésgátló)', 'indításgátló (immobiliser)', 'centrálzár', 'szervokormány', 'rádió', 'CD-s autórádió', 'AUX csatlakozó', 'MP3 lejátszás', 'WMA lejátszás', 'kormányra szerelhető távirányító', '1 DIN', '6 hangszóró', 'azonnal elvihető', 'nem dohányzó', 'rendszeresen karbantartott'];Budapest XIX kerület (Wekerle Telep);;Személyautó;DACIA;2018.07.18;;;;105.0;Manuális;5.0;Nincs;DUSTER;Kék;UU1HSDCM546956583;;Fekete;;;Ezüst;;;;;;;;;;;;;;;;;;-2270 days +05:28:37.661634000;652 days 05:28:37.653341000
12894876;2290000.0;7093.0;2010.11.01;Kitűnő;Várositerepjáró(crossover);149500.0;5.0;5.0;1205.0;1755.0;475liter;Manuálisklíma;Dízel;1461.0;79kW,107LE;Soros;Elsőkerék;Manuális(6fokozatú)sebességváltó;Érvényes magyar okmányokkal;2020.05.01;215/65R16;GARANTÁLT, LEINFORMÁLHATÓ FUTÁSTELJESÍTMÉNY! ÁFÁS ÁR! KLÍMA, 4 LÉGZSÁK, ABS ÉS MÉG SZÁMTALAN EXTRA! SZERVIZPARTNERÜNKNÉL DÍJMENTES MŰSZERES ÁTVIZSGÁLÁST BIZTOSÍTUNK, MELYRŐL TÖBB MINT 25 PONTOS ÁLLAPOTLAPOT KÉSZÍTÜNK ÖNNEK! FIX HAVI TÖRLESZTÉSŰ LÍZING KONSTRUKCIÓK CASCÓVAL, VAGY CASCO NÉLKÜL, AKÁR HITELFEDEZETI BIZTOSÍTÁSSAL! A GÉPKOCSI PONTOS FELSZERELTSÉGÉRŐL ÉS ÁLTALÁNOS ÁLLAPOTÁRÓL, PARAMÉTEREIRŐL KÉRJÜK A HELYSZÍNEN SZEMÉLYESEN GYŐZŐDJÖN MEG. KERESSE A FASTBACK KFT-ÉT A BALOLDALI TELEPEN A VII-ES KAPUNÁL!;['állítható hátsó ülések', 'dönthető utasülések', 'ülésmagasság állítás', 'középső kartámasz', 'automatikusan sötétedő belső tükör', 'hűthető kesztyűtartó', 'deréktámasz', 'ISOFIX rendszer', 'kikapcsolható légzsák', 'oldallégzsák', 'utasoldali légzsák', 'vezetőoldali légzsák', 'hátsó fejtámlák', 'állítható kormány', 'fedélzeti komputer', 'pótkerék', 'ködlámpa', 'fényszóró magasságállítás', 'elektromos ablak elöl', 'elektromos tükör', 'színezett üveg', 'vonóhorog', 'ABS (blokkolásgátló)', 'ESP (menetstabilizátor)', 'centrálzár', 'szervokormány', 'CD-s autórádió', 'AUX csatlakozó', 'autóbeszámítás lehetséges', 'azonnal elvihető', 'első tulajdonostól', 'frissen szervizelt', 'garanciális', 'keveset futott', 'nem dohányzó', 'rendszeresen karbantartott', 'szervizkönyv', '20%-tól elvihető'];1106 BUDAPEST FEHÉR út 9-11.;;Személyautó;DACIA;2018.07.18;;;;107.0;Manuális;6.0;Nincs;DUSTER;Fehér;;20%-tólelvihető;;458000;84hónap;;;;;;;;;;;;;;;;;;;-2817 days +05:28:37.661634000;652 days 05:28:37.653341000
